iter	Logloss
0	0.6521492779
1	0.6135706964
2	0.5756630838
3	0.5443241238
4	0.5169486324
5	0.4934457931
6	0.4743124733
7	0.4591948369
8	0.4361826313
9	0.4182030171
10	0.4034455041
11	0.3859678306
12	0.3706453927
13	0.3567042213
14	0.3381477149
15	0.3300565419
16	0.3182939015
17	0.3071703462
18	0.2957225234
19	0.2848105398
20	0.274846218
21	0.2669400977
22	0.2575126086
23	0.2475149251
24	0.239929633
25	0.2341851034
26	0.2265992287
27	0.2183190138
28	0.2055074825
29	0.1975638335
30	0.1922952641
31	0.1859676407
32	0.1801448733
33	0.1754996329
34	0.1713037873
35	0.166583077
36	0.1627293099
37	0.1584336892
38	0.1535479608
39	0.1487652151
40	0.1449188715
41	0.141466857
42	0.1378190898
43	0.1356473117
44	0.1318141968
45	0.129420154
46	0.1266100195
47	0.1232572857
48	0.1196189497
49	0.1158205289
50	0.1128988367
51	0.1089504318
52	0.1054169279
53	0.1028804169
54	0.1008379357
55	0.09763760663
56	0.09502763118
57	0.09333581159
58	0.09039067977
59	0.08871263973
60	0.08554260762
61	0.0838748767
62	0.08169511296
63	0.07959075063
64	0.0771330903
65	0.0749712747
