iter	Passed	Remaining
0	789	78183
1	1412	69196
2	2046	66178
3	2675	64211
4	3354	63735
5	3963	62087
6	4589	60976
7	5216	59984
8	5806	58713
9	6427	57851
10	7033	56909
11	7652	56116
12	8258	55265
13	8864	54455
14	9480	53722
15	10083	52937
16	10688	52187
17	11303	51494
18	11911	50781
19	12524	50097
20	13126	49378
21	13730	48680
22	14350	48044
23	14963	47384
24	15564	46692
25	16168	46017
26	16777	45360
27	17392	44724
28	18015	44107
29	18627	43463
30	19248	42843
31	19855	42192
32	20453	41526
33	21046	40855
34	21642	40193
35	22246	39548
36	22848	38903
37	23451	38263
38	24049	37616
39	24662	36994
40	25245	36328
41	25844	35690
42	26452	35064
43	27043	34418
44	27635	33776
45	28230	33140
46	28868	32554
47	29483	31940
48	30079	31307
49	30701	30701
50	31323	30094
51	31948	29491
52	32560	28874
53	33173	28258
54	33769	27629
55	34392	27022
56	34995	26400
57	35591	25773
58	36210	25162
59	36820	24546
60	37424	23927
61	38034	23311
62	38664	22707
63	39268	22088
64	39881	21474
65	40475	20851
